player,id
michael warren,6992
branden oliver,2050
brandon wilds,3573
demetric felton,7609
john kelly,5076
alex barnes,6031
jonathan grimes,1275
devante mays,4244
stanley williams,4373
devine ozigbo,6068
mack brown,2634
jon hilliman,6446
darrynton evans,7064
chuba hubbard,7594
zach zenner,2560
patrick laird,6311
ryan nall,5163
deon jackson,7551
kelsey young,3877
matt asiata,936
khalil herbert,7608
zack moss,6845
rashard mendenhall,145
james white,1848
shane wimann,5663
dontrell hilliard,5536
thomas rawls,2585
salvon ahmed,6918
tony pollard,5967
chris warren iii,5587
josh harris,2303
nico evans,6637
matt breida,4455
cedric peerman,659
rajion neal,2142
james butler,5785
brandon ross,3570
russell hansbrough,3461
justin stockton,5800
valentine holmes,6203
juwan thompson,2011
john robinson-woodgett,4504
rashad jennings,380
andre williams,2088
dexter williams,6153
lawrence thomas,3644
damien williams,1833
ahmad bradshaw,78
demarco murray,904
ty johnson,6039
devontae booker,3209
keith ford,5624
marcelias sutton,6700
lj scott,6161
nick ralston,7941
brandon cottom,2948
arian foster,669
marquis young,6742
charles sims,2223
darrin reaves,2193
lee ward,2945
kerryon johnson,5068
fozzy whittaker,1709
jaquan hardy,7863
ryquell armstead,6007
zach olstad,5697
mike weber,6159
jawon chisholm,2767
sony michel,4962
joique bell,736
nyheim hines,5347
bryce brown,1026
fitzgerald toussaint,2282
lamar miller,1048
tj yeldon,2341
duce staley,4909
andre ellington,1575
zach laskey,2880
joshua kelley,7045
kamryn pettway,5273
myles gaskin,5980
jaylen samuels,5107
jordan ellis,6318
storm johnson,1986
pooka williams,7560
bo scarbrough,5112
ray rice,16
josh jacobs,5850
austin ekeler,4663
chase reynolds,1704
lenard tillery,4636
jamaal charles,323
ralph webb,5192
abou toure,2698
devontae jackson,6539
cedric oneal,3780
jordan wilkins,5100
terron ward,2621
rico dowdle,7021
rashaad penny,4985
lavance taylor,3032
rob kelley,3657
brian herrien,7001
travaris cadet,1185
mark ingram,956
chris thompson,1502
napoleon maxwell,7475
nick brossette,6021
dandre swift,6790
joey iosefa,2530
tyler varga,2566
lance dunbar,1284
knowshon moreno,387
mark thompson,5463
trey williams,2633
kenyan drake,3242
cj marable,7549
john crockett,2562
jerick mckinnon,2161
charcandrick west,2024
anthony sherman,973
kelvin taylor,3366
james wilder,2283
damarea crockett,6334
tyler gaffney,2189
darrius sims,4835
terry williams,3929
bryce love,5889
artavis pierce,7227
roy helu,915
zac stacy,1573
rushel shell iii,4923
trayveon williams,6144
paul lasike,2835
benjarvus green-ellis,5820
pierre thomas,34
darius anderson,7038
josh ferguson,3453
bj emmons,7951
tony jones,6984
jay ajayi,2452
justin crawford,5398
tra carson,3688
brandon jacobs,82
marshawn lynch,745
tre harbison,8027
antone smith,609
brandon brown-dukes,3816
david williams,5115
leon washington,697
fred jackson,228
cyrus gray,1130
