,user,add/drop,player,date,transaction_id,transaction_type,trader
0,jonhugi97,add,cedrick wilson,2021-09-15,0,waiver,None
1,jonhugi97,drop,isaiah hodgins,2021-09-15,0,waiver,None
2,nonni123,add,kj osborn,2021-09-15,1,waiver,None
3,nonni123,drop,john hightower,2021-09-15,1,waiver,None
4,nonni123,add,trenton cannon,2021-09-09,2,free_agent,None
5,nonni123,drop,mekhi sargent,2021-09-09,2,free_agent,None
6,ebb,add,donald parham,2021-09-09,3,free_agent,None
7,ebb,drop,will dissly,2021-09-09,3,free_agent,None
8,ebb,add,will dissly,2021-09-09,4,waiver,None
9,2g1c,drop,darren fells,2021-09-07,5,free_agent,None
10,2g1c,add,randall cobb,2021-09-09,6,waiver,None
11,2g1c,add,devonta freeman,2021-09-09,7,waiver,None
12,2g1c,add,deonte harris,2021-09-09,8,waiver,None
13,2g1c,drop,danny amendola,2021-09-07,9,free_agent,None
14,2g1c,drop,kenny stills,2021-09-07,10,free_agent,None
15,nonni123,add,mekhi sargent,2021-09-09,11,waiver,None
16,nonni123,add,cordarrelle patterson,2021-09-09,12,waiver,None
17,nonni123,drop,justice hill,2021-09-09,12,waiver,None
18,arnarleo,add,tyler kroft,2021-09-07,13,waiver,None
19,arnarleo,drop,keke coutee,2021-09-07,13,waiver,None
20,arnarleo,add,trinity benson,2021-09-07,14,waiver,None
21,arnarleo,drop,qadree ollison,2021-09-07,14,waiver,None
22,arnarleo,add,tyler conklin,2021-09-05,15,waiver,None
23,viktorhelgi,add,hunter long,2021-09-05,16,waiver,None
24,viktorhelgi,drop,kawaan baker,2021-09-05,16,waiver,None
25,viktorhelgi,add,jerick mckinnon,2021-09-02,17,waiver,None
26,viktorhelgi,drop,tyron johnson,2021-09-02,17,waiver,None
27,viktorhelgi,add,chris evans,2021-09-02,18,waiver,None
28,viktorhelgi,add,jerick mckinnon,2021-09-02,19,waiver,None
29,viktorhelgi,add,randall cobb,2021-09-02,20,waiver,None
30,viktorhelgi,add,hunter long,2021-09-02,21,waiver,None
31,viktorhelgi,drop,lynn bowden,2021-09-02,22,free_agent,None
32,viktorhelgi,add,hunter long,2021-09-02,23,waiver,None
33,viktorhelgi,drop,tyron johnson,2021-09-02,23,waiver,None
34,vikkisibbi,add,tyson williams,2021-08-31,24,waiver,None
35,thorsteinnah,add,tyson williams,2021-08-31,25,waiver,None
36,thorsteinnah,drop,josh gordon,2021-08-31,25,waiver,None
37,birgirms,add,justice hill,2021-08-31,26,waiver,None
38,birgirms,drop,alshon jeffery,2021-08-31,26,waiver,None
39,nonni123,add,tyson williams,2021-08-31,27,waiver,None
40,nonni123,add,justice hill,2021-08-31,28,waiver,None
41,thorsteinnah,add,jj taylor,2021-08-29,29,waiver,None
42,thorsteinnah,drop,bryce love,2021-08-29,29,waiver,None
43,viktorhelgi,add,jerick mckinnon,2021-08-29,30,waiver,None
44,viktorhelgi,drop,devin funchess,2021-08-29,30,waiver,None
45,ebb,drop,jerick mckinnon,2021-08-26,31,free_agent,None
46,viktorhelgi,add,juwan johnson,2021-08-29,32,waiver,None
47,viktorhelgi,drop,devin funchess,2021-08-29,32,waiver,None
48,viktorhelgi,add,hunter long,2021-08-26,33,waiver,None
49,viktorhelgi,add,jaelon darden,2021-08-26,34,waiver,None
50,viktorhelgi,add,shi smith,2021-08-26,35,waiver,None
51,viktorhelgi,add,juwan johnson,2021-08-26,36,waiver,None
52,viktorhelgi,add,tony jones,2021-08-26,37,waiver,None
53,arnarleo,add,qadree ollison,2021-08-19,38,waiver,None
54,arnarleo,drop,josh imatorbhebhe,2021-08-17,39,free_agent,None
55,thorsteinnah,add,derrius guice,2021-08-17,40,waiver,None
56,thorsteinnah,drop,john ross,2021-08-17,40,waiver,None
57,viktorhelgi,add,devin funchess,2021-08-15,41,waiver,None
58,viktorhelgi,drop,david moore,2021-08-15,41,waiver,None
59,jonhugi97,add,quez watkins,2021-08-12,42,waiver,None
60,jonhugi97,drop,golden tate,2021-08-12,42,waiver,None
61,vikkisibbi,add,jake funk,2021-08-05,43,waiver,None
62,ebb,add,denzel mims,2021-08-03,44,trade,vikkisibbi
63,ebb,add,michael pittman,2021-08-03,44,trade,vikkisibbi
64,vikkisibbi,add,jk dobbins,2021-08-03,44,trade,ebb
65,vikkisibbi,drop,denzel mims,2021-08-03,44,trade,ebb
66,vikkisibbi,drop,michael pittman,2021-08-03,44,trade,ebb
67,ebb,drop,jk dobbins,2021-08-03,44,trade,vikkisibbi
68,ebb,add,2022 - 1 round via vikkisibbi,2021-08-03,44,trade,vikkisibbi
69,vikkisibbi,drop,2022 - 1 round via vikkisibbi,2021-08-03,44,trade,vikkisibbi
70,ebb,add,2022 - 1 round via arnarleo,2021-08-03,44,trade,vikkisibbi
71,vikkisibbi,drop,2022 - 1 round via arnarleo,2021-08-03,44,trade,vikkisibbi
72,viktorhelgi,add,jake funk,2021-08-01,45,waiver,None
73,viktorhelgi,add,kawaan baker,2021-08-01,46,waiver,None
74,viktorhelgi,add,jaelon darden,2021-08-01,47,waiver,None
75,thorsteinns,add,xavier jones,2021-07-29,48,waiver,None
