user;add/drop;player;date;transaction_id;transaction_type;trader;;;User;waiver;free_agent;Nr of Trades;traded players;W & FA;Total players;;
jonhugi97;add;cedrick wilson;15.9.2021;0;waiver;None;;;jonhugi97;6;6;1;3;12;15;;
jonhugi97;drop;isaiah hodgins;15.9.2021;0;waiver;None;;;nonni123;9;8;3;8;17;25;;
nonni123;add;kj osborn;15.9.2021;1;waiver;None;;;ebb;4;8;3;12;12;24;;
nonni123;drop;john hightower;15.9.2021;1;waiver;None;;;2g1c;4;3;0;0;7;7;;
nonni123;add;trenton cannon;9.9.2021;2;free_agent;None;;;arnarleo;14;9;4;18;23;41;;
nonni123;drop;mekhi sargent;9.9.2021;2;free_agent;None;;;viktorhelgi;37;14;5;22;51;73;;
ebb;add;donald parham;9.9.2021;3;free_agent;None;;;vikkisibbi;7;3;7;23;10;33;;
ebb;drop;will dissly;9.9.2021;3;free_agent;None;;;thorsteinnah;10;6;2;7;16;23;;
ebb;add;will dissly;9.9.2021;4;waiver;None;;;birgirms;2;3;1;3;5;8;;
2g1c;drop;darren fells;7.9.2021;5;free_agent;None;;;thorsteinns;2;2;4;21;4;25;;
2g1c;add;randall cobb;9.9.2021;6;waiver;None;;;agustlogi;0;3;2;6;3;9;;
2g1c;add;devonta freeman;9.9.2021;7;waiver;None;;;tindurs;0;7;2;5;7;12;;
2g1c;add;deonte harris;9.9.2021;8;waiver;None;;;;;;;;;;;
2g1c;drop;danny amendola;7.9.2021;9;free_agent;None;;;Rankings;;;;;;;;
2g1c;drop;kenny stills;7.9.2021;10;free_agent;None;;;Nr of Trades;;Nr of Traded Players;;W & FA;;;nrPlayers/Trade;
nonni123;add;mekhi sargent;9.9.2021;11;waiver;None;;;vikkisibbi;7;vikkisibbi;23;viktorhelgi;51;;thorsteinns;5.25
nonni123;add;cordarrelle patterson;9.9.2021;12;waiver;None;;;viktorhelgi;5;viktorhelgi;22;arnarleo;23;;arnarleo;4.50
nonni123;drop;justice hill;9.9.2021;12;waiver;None;;;arnarleo;4;thorsteinns;21;nonni123;17;;viktorhelgi;4.40
arnarleo;add;tyler kroft;7.9.2021;13;waiver;None;;;thorsteinns;4;arnarleo;18;thorsteinnah;16;;ebb;4.00
arnarleo;drop;keke coutee;7.9.2021;13;waiver;None;;;nonni123;3;ebb;12;jonhugi97;12;;thorsteinnah;3.50
arnarleo;add;trinity benson;7.9.2021;14;waiver;None;;;ebb;3;nonni123;8;ebb;12;;vikkisibbi;3.29
arnarleo;drop;qadree ollison;7.9.2021;14;waiver;None;;;thorsteinnah;2;thorsteinnah;7;vikkisibbi;10;;agustlogi;3.00
arnarleo;add;tyler conklin;5.9.2021;15;waiver;None;;;agustlogi;2;agustlogi;6;2g1c;7;;jonhugi97;3.00
viktorhelgi;add;hunter long;5.9.2021;16;waiver;None;;;tindurs;2;tindurs;5;tindurs;7;;birgirms;3.00
viktorhelgi;drop;kawaan baker;5.9.2021;16;waiver;None;;;jonhugi97;1;jonhugi97;3;birgirms;5;;nonni123;2.67
viktorhelgi;add;jerick mckinnon;2.9.2021;17;waiver;None;;;birgirms;1;birgirms;3;thorsteinns;4;;tindurs;2.50
viktorhelgi;drop;tyron johnson;2.9.2021;17;waiver;None;;;2g1c;0;2g1c;0;agustlogi;3;;2g1c;0.00
viktorhelgi;add;chris evans;2.9.2021;18;waiver;None;;;;;;;;;;;
viktorhelgi;add;jerick mckinnon;2.9.2021;19;waiver;None;;;;;;;;;;;
viktorhelgi;add;randall cobb;2.9.2021;20;waiver;None;;;;;;;;;;;
viktorhelgi;add;hunter long;2.9.2021;21;waiver;None;;;;;;;;;;;
